Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,excluded_stage1,excluded_stage2,excluded_stage3,already_analyzed
Secure Ad-Hoc On-demand Distance Vector routing using identity based symmetric key management,Mahesh Kumar K.M; Sunitha N.R; R. Mathew; M. Veerayya; C. Vijendra,"Department of CSE, Siddaganga Institute of Technology, Tumkur, Karnataka, India; Department of CSE, Siddaganga Institute of Technology, Tumkur, Karnataka, India; Centre for Artificial Intelligence & Robotics (CAIR), Bangalore, Karnataka, India; Centre for Artificial Intelligence & Robotics (CAIR), Bangalore, Karnataka, India; Centre for Artificial Intelligence & Robotics (CAIR), Bangalore, Karnataka, India","2016 International Conference on Wireless Communications, Signal Processing and Networking (WiSPNET)",15 Sep 2016,2016.0,,,1075,1081,"Managing keys for secure communication and routing in Mobile Ad-hoc Network (MANET) is a significant and challenging task due to its battery constrained functionality, dynamic topology, minimal physical security and varying capacity links. Identity based key management techniques have less memory storage cost and simple key management process compared to other methods such as Public Key Infrastructure (PKI). In this paper we propose identity based symmetric key management solution using Elliptic Curve Cryptography (ECC) and bilinear pairing concept to generate the symmetric keys to secure communication and routing in MANETs. We realized the elliptic curve point generation, addition and multiplication functionalities from scratch and tested them against standard implementations like PARI/GP. We modified the Ad-hoc On-demand Distance Vector (AODV) code to suit the security requirements and used them to validate secure communication on MANET testbed. We show that proposed identity based symmetric key management scheme is fast, simple, reliable, computationally less expensive and has less storage cost.",,978-1-4673-9338-6,10.1109/WiSPNET.2016.7566302,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7566302,Identity Based Cryptography;Key Management;MANETs;Secure AODV,Mobile ad hoc networks;Peer-to-peer computing;Routing protocols;Public key;Authentication,mobile ad hoc networks;public key cryptography;routing protocols,secure ad-hoc on-demand distance vector routing;secure communication;mobile ad hoc network;battery constrained functionality;dynamic topology;minimal physical security;capacity links;memory storage cost;identity based symmetric key management;elliptic curve cryptography;ECC;bilinear pairing;elliptic curve point generation;elliptic curve point addition;elliptic curve point multiplication;AODV code;MANET testbed,,3.0,,11.0,IEEE,15 Sep 2016,,,IEEE,IEEE Conferences,False,True,True,
A Comparative Analysis of Classifiers in the Recognition of Packed Executables,C. R. O. Assis; R. S. Miani; M. G. Carneiro; K. J. B. Park,"Department of Computer Science, Federal University of Minas Gerais, Belo Horizonte, Brazil; Faculty of Computing Federal, University of Uberlândia, Uberlândia, Brazil; Faculty of Computing Federal, University of Uberlândia, Uberlândia, Brazil; Faculty of Electrical Engineering, Federal University of Uberlândia, Uberlândia, Brazil",2019 IEEE 31st International Conference on Tools with Artificial Intelligence (ICTAI),13 Feb 2020,2019.0,,,1356,1360,"Although the packing of executable binaries can be adopted with legitimate intent such as intellectual property protection and size reduction, malware developers utilize those tools to obfuscate their code and thus increase the complexity of static analysis. In order to recognize packed executables, the BinStat application was proposed. It is based on two major steps: the feature extraction, which involves the calculation of statistics and information theory properties from a given binary; and the classification, which adopts a decision tree learned from input features of packed and unpacked binaries previously known in order to classify new executables. The results obtained proved the effectiveness of the tool, but the choice of using only one classifier is arguably a weakness that we chose to improve on the present study. For that end, we rebuilt the training and test datasets and selected the following six classifiers to our analyses: classification and regression trees, random forest, k-nearest neighbors, naive Bayes, neural network and support vector machines. Our results show that the original decision tree algorithm adopted in BinStat (C5.0) is not the best choice for the proposed problem. Indeed, random forest, k-nearest neighbors and support vector machines achieved the best predictive performances.",2375-0197,978-1-7281-3798-8,10.1109/ICTAI.2019.00189,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8995252,"BinStat, packer detection, machine learning, classifiers, information security",,data mining;decision trees;feature extraction;invasive software;learning (artificial intelligence);pattern classification;support vector machines;trees (mathematics),packed binaries;unpacked binaries;classifier;support vector machines;original decision tree algorithm;comparative analysis;packed executables;executable binaries;legitimate intent;intellectual property protection;size reduction;malware developers;static analysis;BinStat application;feature extraction;information theory properties,,1.0,,18.0,IEEE,13 Feb 2020,,,IEEE,IEEE Conferences,False,True,True,
DroidEvolver: Self-Evolving Android Malware Detection System,K. Xu; Y. Li; R. Deng; K. Chen; J. Xu,"School of Information Systems, Singapore Management University; School of Information Systems, Singapore Management University; School of Information Systems, Singapore Management University; School of Cyber Security, University of Chinese Academy of Sciences; School of Information Systems, Singapore Management University",2019 IEEE European Symposium on Security and Privacy (EuroS&P),22 Aug 2019,2019.0,,,47,62,"Given the frequent changes in the Android framework and the continuous evolution of Android malware, it is challenging to detect malware over time in an effective and scalable manner. To address this challenge, we propose DroidEvolver, an Android malware detection system that can automatically and continually update itself during malware detection without any human involvement. While most existing malware detection systems can be updated by retraining on new applications with true labels, DroidEvolver requires neither retraining nor true labels to update itself, mainly due to the insight that DroidEvolver makes necessary and lightweight update using online learning techniques with evolving feature set and pseudo labels. The detection performance of DroidEvolver is evaluated on a dataset of 33,294 benign applications and 34,722 malicious applications developed over a period of six years. Using 6,286 applications dated in 2011 as the initial training set, DroidEvolver achieves high detection F-measure (95.27%), which only declines by 1.06% on average per year over the next five years for classifying 57,539 newly appeared applications. Note that such new applications could use new techniques and new APIs, which are not known to DroidEvolver when initialized with 2011 applications. Compared with the state-of-the-art overtime malware detection system MAMADROID, the F-measure of DroidEvolver is 2.19 times higher on average (10.21 times higher for the fifth year), and the efficiency of DroidEvolver is 28.58 times higher than MAMADROID during malware detection. DroidEvolver is also shown robust against typical code obfuscation techniques.",,978-1-7281-1148-3,10.1109/EuroSP.2019.00014,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8806731,Android Security;Malware Detection Overtime,Feature extraction;Malware;Aging;Training;Adaptation models;Manuals;Labeling,Android (operating system);feature extraction;invasive software;learning (artificial intelligence);mobile computing;pattern classification,DroidEvolver;self-evolving Android malware detection system;online learning,,47.0,,45.0,IEEE,22 Aug 2019,,,IEEE,IEEE Conferences,False,True,True,
Secure Health Fog: A Novel Framework for Personalized Recommendations Based on Adaptive Model Tuning,U. U. Rehman; S. -B. Park; S. Lee,"Department of Computer Science and Engineering, Kyung Hee University (Global Campus), Giheung-gu, Yongin-si, Gyeonggi-do, South Korea; Department of Computer Science and Engineering, Kyung Hee University (Global Campus), Giheung-gu, Yongin-si, Gyeonggi-do, South Korea; Department of Computer Science and Engineering, Kyung Hee University (Global Campus), Giheung-gu, Yongin-si, Gyeonggi-do, South Korea",IEEE Access,6 Aug 2021,2021.0,9,,108373,108391,"The emergence of smart technology has equipped humans with wearables and sensors that collect relevant data related to individuals and their surroundings. In healthcare, the collected data can monitor user emotion, behavior, and activity, which leads to the development of personalized decisions and improves lifestyle. In this paper, we analyzed the existing health fog framework and identified its limitations in terms of security, performance, and accuracy. Based on these limitations, we propose a secure health fog (SHF) framework that collects data from different Internet of Things (IoT) devices and maintains a personalized repository for adaptive model tuning. The adaptive model improves periodically based on user feedback and generates a personalized recommendation. Moreover, the existing IoT devices mostly rely on low-cost and low-power Zigbee technology, which is vulnerable to different attacks, such as device control, eavesdropping, fake device injection, malicious insider, man-in-the-middle, masquerading, message tampering, privacy leakage, and replay attack. Therefore, we propose a Zigbee Secure Health Fog (ZigbeeSHF) protocol, which uses symmetric and public-key cryptography to prevent these attacks. For data migration security, we concatenate the encrypted data with the encrypted digital signature to provide data authenticity, integrity, and confidentiality. To support our claims, we use the automated formal verification tools Scyther and AVISPA (Automated Validation of Internet Security Protocols and Applications), which evaluate the protocols based on the threat model and exploits the vulnerabilities in different attacking environments. The results of both tools ensure prevention against the mentioned attacks. As a proof of concept, we also evaluate the accuracy and performance of our proposed framework in a smart studio apartment. The result shows that the adaptive model tuned for an individual user is very effective, and the average accuracy of 32.5% is improved after one month. Furthermore, the proposed ZigbeeSHF protocol requires 7.93% and 25.35% more computation time than Zigbee with and without installation code, respectively.",2169-3536,,10.1109/ACCESS.2021.3101308,"Ministry of Science and ICT (MSIT), South Korea, through the Information Technology Research Center (ITRC) Support Program Supervised by the Institute for Information and Communications Technology Promotion (IITP)(grant numbers:IITP-2017-0-01629); IITP Grant by the Korean Government through MSIT(grant numbers:2017-0-00655); MSIT, South Korea, through the Grand Information Technology Research Center Support Program Supervised by the IITP(grant numbers:IITP-2021-2020-0-01489,NRF-2019R1A2C2090504);",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9502075,Secure health fog;adaptive model tuning;personalized decision;security;Zigbee,Medical services;Edge computing;Sensors;Monitoring;Security;Protocols;Adaptation models,body sensor networks;computer network security;data privacy;digital signatures;distributed processing;health care;Internet of Things;private key cryptography;protocols;public key cryptography;telecommunication power management;Zigbee,encrypted digital signature;data authenticity;ZigbeeSHF protocol;adaptive model tuning;smart technology;secure health fog framework;data migration security;secure health fog;healthcare;SHF framework;Internet of Things devices;IoT devices;low-power Zigbee technology;device control attacks;eavesdropping;fake device injection attack;malicious insider attack;man-in-the-middle attack;masquerading attack;message tampering attack;privacy leakage attack;replay attack;Zigbee secure health fog protocol;symmetric key cryptography;public-key cryptography,,3.0,,59.0,CCBY,30 Jul 2021,,,IEEE,IEEE Journals,False,True,True,
An improved memory management scheme for large scale graph computing engine GraphChi,Y. Jiang; D. Zhang; K. Chen; Q. Zhou; Y. Zhou; J. He,"School of Information Security and Engineering, Shanghai Jiao Tong University, Shanghai, China; School of Electronic Information and Electrical Engineering, Shanghai Jiao Tong University, Shanghai, China; School of Electronic Information and Electrical Engineering, Shanghai Jiao Tong University, Shanghai, China; School of Software Shanghai Jiao Tong University, Shanghai, China; School of Electronic Information and Electrical Engineering, Shanghai Jiao Tong University, Shanghai, China; School of Engineering and Applied Science Aston University, UK",2014 IEEE International Conference on Big Data (Big Data),8 Jan 2015,2014.0,,,58,63,"GraphChi is the first reported disk-based graph engine that can handle billion-scale graphs on a single PC efficiently. GraphChi is able to execute several advanced data mining, graph mining and machine learning algorithms on very large graphs. With the novel technique of parallel sliding windows (PSW) to load subgraph from disk to memory for vertices and edges updating, it can achieve data processing performance close to and even better than those of mainstream distributed graph engines. GraphChi mentioned that its memory is not effectively utilized with large dataset, which leads to suboptimal computation performances. In this paper we are motivated by the concepts of “pin ” from TurboGraph and “ghost” from GraphLab to propose a new memory utilization mode for GraphChi, which is called Part-in-memory mode, to improve the GraphChi algorithm performance. The main idea is to pin a fixed part of data inside the memory during the whole computing process. Part-in-memory mode is successfully implemented with only about 40 additional lines of code to the original GraphChi engine. Extensive experiments are performed with large real datasets (including Twitter graph with 1.4 billion edges). The preliminary results show that Part-in-memory mode memory management approach effectively reduces the GraphChi running time by up to 60% in PageRank algorithm. Interestingly it is found that a larger portion of data pinned in memory does not always lead to better performance in the case that the whole dataset cannot be fitted in memory. There exists an optimal portion of data which should be kept in the memory to achieve the best computational performance.",,978-1-4799-5666-1,10.1109/BigData.2014.7004357,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7004357,Graph process;Big data;GraphChi;Part-in-memory mode,Memory management;Twitter;Educational institutions;Engines;Random access memory;Heuristic algorithms;Electrical engineering,data mining;graph theory;learning (artificial intelligence);mathematics computing,memory management scheme;large scale graph computing engine;disk-based graph engine;billion-scale graphs;PC;data mining;graph mining;machine learning algorithms;parallel sliding windows;PSW;edges updating;distributed graph engines;GraphLab;TurboGraph;memory utilization mode;part-in-memory mode;GraphChi engine;PageRank algorithm,,2.0,,19.0,IEEE,8 Jan 2015,,,IEEE,IEEE Conferences,False,True,True,
Cyber Security Innovation for the Digital Economy A Case Study of the Russian Federation,S. Petrenko,,Cyber Security Innovation for the Digital Economy: A Case Study of the Russian Federation,,2018.0,,,i,xxxii,"Cyber Security Innovation for the Digital Economy considers possible solutions to the relatively new scientific-technical problem of developing innovative solutions in the field of cyber security for the Digital Economy. The solutions proposed are based on the results of exploratory studies conducted by the author in the areas of Big Data acquisition, cognitive information technologies (cogno-technologies), new methods of analytical verification of digital ecosystems on the basis of similarity invariants and dimensions, and “computational cognitivism,” involving a number of existing models and methods. In practice, this successfully allowed the creation of new entities - the required safe and trusted digital ecosystems - on the basis of the development of digital and cyber security technologies, and the resulting changes in their behavioral preferences. Here, the ecosystem is understood as a certain system of organizations, created around a certain Technological Platform that use its services to make the best offers to customers and access to them to meet the ultimate needs of clients - legal entities and individuals. The basis of such ecosystems is a certain technological platform, created on advanced innovative developments, including the open interfaces and code, machine learning, cloud technologies, Big Data collection and processing, artificial intelligence technologies, etc. The mentioned Technological Platform allows creating the best offer for the client both from own goods and services and from the offers of external service providers in real time. This book contains four chapters devoted to the following subjects: • Relevance of the given scientific-technical problems in the cybersecurity of Digital Economy • Determination of the limiting capabilities • Possible scientific and technical solutions • Organization of perspective research studies in the area of Digital Economy cyber security in Russia.",,9788770220217,,,https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=9226786.pdf&bkn=9218856&pdfType=chapter,,,,,,,,,,20 Oct 2020,,,River Publishers,River eBook Chapters,True,True,True,
4 Development of Cyber Security Technologies,S. Petrenko,,Cyber Security Innovation for the Digital Economy: A Case Study of the Russian Federation,,2018.0,,,335,432,"Cyber Security Innovation for the Digital Economy considers possible solutions to the relatively new scientific-technical problem of developing innovative solutions in the field of cyber security for the Digital Economy. The solutions proposed are based on the results of exploratory studies conducted by the author in the areas of Big Data acquisition, cognitive information technologies (cogno-technologies), new methods of analytical verification of digital ecosystems on the basis of similarity invariants and dimensions, and “computational cognitivism,” involving a number of existing models and methods. In practice, this successfully allowed the creation of new entities - the required safe and trusted digital ecosystems - on the basis of the development of digital and cyber security technologies, and the resulting changes in their behavioral preferences. Here, the ecosystem is understood as a certain system of organizations, created around a certain Technological Platform that use its services to make the best offers to customers and access to them to meet the ultimate needs of clients - legal entities and individuals. The basis of such ecosystems is a certain technological platform, created on advanced innovative developments, including the open interfaces and code, machine learning, cloud technologies, Big Data collection and processing, artificial intelligence technologies, etc. The mentioned Technological Platform allows creating the best offer for the client both from own goods and services and from the offers of external service providers in real time. This book contains four chapters devoted to the following subjects: • Relevance of the given scientific-technical problems in the cybersecurity of Digital Economy • Determination of the limiting capabilities • Possible scientific and technical solutions • Organization of perspective research studies in the area of Digital Economy cyber security in Russia.",,9788770220217,,,https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=9226898.pdf&bkn=9218856&pdfType=chapter,,,,,,,,,,20 Oct 2020,,,River Publishers,River eBook Chapters,True,True,True,
1 Relevance of Cyber Security Innovations,S. Petrenko,,Cyber Security Innovation for the Digital Economy: A Case Study of the Russian Federation,,2018.0,,,7,162,"Cyber Security Innovation for the Digital Economy considers possible solutions to the relatively new scientific-technical problem of developing innovative solutions in the field of cyber security for the Digital Economy. The solutions proposed are based on the results of exploratory studies conducted by the author in the areas of Big Data acquisition, cognitive information technologies (cogno-technologies), new methods of analytical verification of digital ecosystems on the basis of similarity invariants and dimensions, and “computational cognitivism,” involving a number of existing models and methods. In practice, this successfully allowed the creation of new entities - the required safe and trusted digital ecosystems - on the basis of the development of digital and cyber security technologies, and the resulting changes in their behavioral preferences. Here, the ecosystem is understood as a certain system of organizations, created around a certain Technological Platform that use its services to make the best offers to customers and access to them to meet the ultimate needs of clients - legal entities and individuals. The basis of such ecosystems is a certain technological platform, created on advanced innovative developments, including the open interfaces and code, machine learning, cloud technologies, Big Data collection and processing, artificial intelligence technologies, etc. The mentioned Technological Platform allows creating the best offer for the client both from own goods and services and from the offers of external service providers in real time. This book contains four chapters devoted to the following subjects: • Relevance of the given scientific-technical problems in the cybersecurity of Digital Economy • Determination of the limiting capabilities • Possible scientific and technical solutions • Organization of perspective research studies in the area of Digital Economy cyber security in Russia.",,9788770220217,,,https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=9226791.pdf&bkn=9218856&pdfType=chapter,,,,,,,,,,20 Oct 2020,,,River Publishers,River eBook Chapters,True,True,True,
Expert System for University Program Recommendation,C. P. Lee; Z. B. Ng; Y. E. Low; K. M. Lim,"Faculty of Information Science and Technology, Multimedia University, Melaka, Malaysia; Faculty of Information Science and Technology, Multimedia University, Melaka, Malaysia; Faculty of Information Science and Technology, Multimedia University, Melaka, Malaysia; Faculty of Information Science and Technology, Multimedia University, Melaka, Malaysia",2020 IEEE 2nd International Conference on Artificial Intelligence in Engineering and Technology (IICAIET),20 Nov 2020,2020.0,,,1,6,"Deciding on the most suitable university program to pursue after completing secondary education is a major step for school-leavers as it sets the tone of the career path they will embark on in the future. Undeniably, deciding on the university program is a sophisticated problem that involves a broad range of factors, such as geographic location, overall cost, campus security, personality, etc. Most of these factors, for instance, geographic location and campus security only have temporary impact on the school-leavers while they are attending to university. Nevertheless, the personality factor appears to be the long-term and the most crucial determinant of the success in their professional life. When choosing the university program, school-leavers often make the mistake of following friends' footsteps or adhering to parents' decisions, only to realize years later that it is not what suits their personality or what they want. Considering these challenges, this work studies on the Holland's Personality Test to examine the personality of school-leavers. There are six personality types in Holland's Personality Test, represented as RIASEC code or Holland code. On top of that, this work also compiles a comprehensive list of university programs with their corresponding Holland code. An expert system is then engineered to encode the information into the knowledge base. Upon taking the Holland Personality Test, the expert system will update the facts list based on the answers given. Subsequently, the inference engine activates the production rules if the conditions are fulfilled. Ultimately, the personality type and recommended university program are presented to the school-leavers.",,978-1-7281-6946-0,10.1109/IICAIET49801.2020.9257822,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9257822,expert system;university program recommender,Expert systems;Education;Engineering profession;Information science;Engines;Multimedia systems;Cognition,behavioural sciences computing;computer science education;educational administrative data processing;educational courses;educational institutions;expert systems;human factors;inference mechanisms;psychology,campus security;school-leavers;personality factor;personality type;expert system;Holland Personality Test;university program recommendation;suitable university program;geographic location;RIASEC code;Holland code;knowledge base;inference engine,,1.0,,16.0,IEEE,20 Nov 2020,,,IEEE,IEEE Conferences,False,True,True,
A Defect Detection Technology Based on Software Behavior Decision Tree,X. Chen; H. Ding; S. Fang; Z. Li; X. He,"Information & Communication Department, CEPRI, Beijing, China; Information & Communication Department, CEPRI, Beijing, China; Information & Communication Department, CEPRI, Beijing, China; Information & Communication Department, CEPRI, Beijing, China; Network & Telecommunication Department, ENSEA, Cergy, France","2017 International Conference on Computer Systems, Electronics and Control (ICCSEC)",26 Aug 2018,2017.0,,,717,724,"With the increase of software system's size and complexity, a high requirement of the reliability, stability and security of software quality is put forward. At present, Machine learning technology is adopted in defect detection to realize code scanning and semantic analysis on software defects. The traditional machine learning technology for software defect detection is generally based on algorithms such as BP neural network model, naive Bayes model, and fingerprint identification model, etc. Regarding the features of software defect detection, this paper proposes a layered detection technology based on software behavior decision tree model. Furthermore, a corresponding test environment is established to make contrast test of previously tested software. The results of the experiment shows that, with the comprehensive consideration of building time cost and false alarm rate and other factors, the defect detection technology based on software behavior decision tree model is superior to other technologies.",,978-1-5386-3573-5,10.1109/ICCSEC.2017.8446897,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8446897,defect detection;machine learning;decision tree;layered detection;software test,Software;Hidden Markov models;Decision trees;Computational modeling;Machine learning;Analytical models;Classification algorithms,Bayes methods;decision trees;learning (artificial intelligence);neural nets;program testing;software quality,software quality;Machine learning technology;software defect detection;BP neural network model;naive Bayes model;fingerprint identification model;layered detection technology;software behavior decision tree model;tested software;defect detection technology,,,,11.0,IEEE,26 Aug 2018,,,IEEE,IEEE Conferences,False,True,True,
A Self-supervised Approach for Adversarial Robustness,M. Naseer; S. Khan; M. Hayat; F. S. Khan; F. Porikli,"Australian National University, Australia; Inception Institute of Artificial Intelligence, UAE; Inception Institute of Artificial Intelligence, UAE; Inception Institute of Artificial Intelligence, UAE; Australian National University, Australia",2020 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),5 Aug 2020,2020.0,,,259,268,"Adversarial examples can cause catastrophic mistakes in Deep Neural Network (DNNs) based vision systems e.g., for classification, segmentation and object detection. The vulnerability of DNNs against such attacks can prove a major roadblock towards their real-world deployment. Transferability of adversarial examples demand generalizable defenses that can provide cross-task protection. Adversarial training that enhances robustness by modifying target model's parameters lacks such generalizability. On the other hand, different input processing based defenses fall short in the face of continuously evolving attacks. In this paper, we take the first step to combine the benefits of both approaches and propose a self-supervised adversarial training mechanism in the input space. By design, our defense is a generalizable approach and provides significant robustness against the unseen adversarial attacks (e.g. by reducing the success rate of translation-invariant ensemble attack from 82.6% to 31.9% in comparison to previous stateof-the-art). It can be deployed as a plug-and-play solution to protect a variety of vision systems, as we demonstrate for the case of classification, segmentation and detection. Code is available at: https://github.com/ Muzammal-Naseer/NRP.",2575-7075,978-1-7281-7168-5,10.1109/CVPR42600.2020.00034,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9156294,,Perturbation methods;Task analysis;Distortion;Training;Robustness;Feature extraction;Neural networks,computer vision;image classification;learning (artificial intelligence);neural nets;object detection,real-world deployment;cross-task protection;target model;self-supervised adversarial training mechanism;generalizable approach;unseen adversarial attacks;segmentation;adversarial robustness;catastrophic mistakes;object detection;input processing based defenses;deep neural network based vision systems,,49.0,,52.0,IEEE,5 Aug 2020,,,IEEE,IEEE Conferences,False,True,True,
Decoding fingerprints using the Markov Chain Monte Carlo method,T. Furon; A. Guyader; F. Cérou,"INRIA Rennes, Rennes, France; INRIA Rennes, Universite de Rennes II, Rennes, France; INRIA Rennes, IRMAR, Rennes, France",2012 IEEE International Workshop on Information Forensics and Security (WIFS),17 Jan 2013,2012.0,,,187,192,This paper proposes a new fingerprinting decoder based on the Markov Chain Monte Carlo (MCMC) method. A Gibbs sampler generates groups of users according to the posterior probability that these users could have forged the sequence extracted from the pirated content. The marginal probability that a given user pertains to the collusion is then estimated by a Monte Carlo method. The users having the biggest empirical marginal probabilities are accused. This MCMC method can decode any type of fingerprinting codes. This paper is in the spirit of the `Learn and Match' decoding strategy: it assumes that the collusion attack belongs to a family of models. The Expectation-Maximization algorithm estimates the parameters of the collusion model from the extracted sequence. This part of the algorithm is described for the binary Tardos code and with the exploitation of the soft outputs of the watermarking decoder. The experimental body considers some extreme setups where the fingerprinting code lengths are very small. It reveals that the weak link of our approach is the estimation part. This is a clear warning to the `Learn and Match' decoding strategy.,2157-4774,978-1-4673-2287-4,10.1109/WIFS.2012.6412647,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6412647,,Decoding;Watermarking;Markov processes;Estimation;Monte Carlo methods;Joints;Noise,binary codes;computer crime;expectation-maximisation algorithm;learning (artificial intelligence);Markov processes;Monte Carlo methods;probability;watermarking,Markov Chain Monte Carlo method;fingerprinting decoder;MCMC method;Gibbs sampler;posterior probability;sequence extraction;pirated content;empirical marginal probability;fingerprinting code decoding;Learn and Match decoding strategy;collusion attack;expectation-maximization algorithm;parameter estimation;binary Tardos code;watermarking decoder;fingerprinting code length;active fingerprinting;traitor tracing,,7.0,,10.0,IEEE,17 Jan 2013,,,IEEE,IEEE Conferences,False,True,True,
Taxonomy-Based Intelligent Malware Detection Framework,Q. K. Ali Mirza; F. Hussain; I. Awan; M. Younas; S. Sharieh,"University of Gloucestershire, Cheltenham, UK; Royal Bank of Canada, Toronto, Canada; University of Bradford, UK; Oxford Brookes University, UK; Royal Bank of Canada, Toronto, Canada",2019 IEEE Global Communications Conference (GLOBECOM),27 Feb 2020,2019.0,,,1,6,"Timely detection of a malicious piece of code accurately, in an enterprise network or in an individual device, before it propagates and mutate itself, is one of the most challenging tasks in the domain of cyber security. Millions of variants of each latest malware are released every day and each of these variants have a unique static signature. Conventional anti-malware tools use signatures and static heuristics of malware to segregate them from legitimate files, which is not an effective technique because of the number of malware variants released every passing day. To overcome the fundamental flaw of operational techniques, we propose a framework that generalizes the static and dynamic malware features that are used to train multiple machine learning algorithms. The generalization of clean and malicious features enables the framework to accurately differentiate between clean and malicious files.",2576-6813,978-1-7281-0962-6,10.1109/GLOBECOM38437.2019.9013526,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9013526,,Feature extraction;Machine learning;Machine learning algorithms;Heuristic algorithms;Monitoring;Ransomware,invasive software;learning (artificial intelligence),enterprise network;cyber security;static signature;passing day;operational techniques;static malware features;dynamic malware features;clean files;malicious files;taxonomy-based intelligent malware detection framework,,,,14.0,IEEE,27 Feb 2020,,,IEEE,IEEE Conferences,False,True,True,
Defect Prediction Based on the Characteristics of Multilayer Structure of Software Network,Y. Yang; J. Ai; F. Wang,"School of Reliability and System Engineering, Beihang University, Beijing, China; School of Reliability and System Engineering, Beihang University, Beijing, China; School of Reliability and System Engineering, Beihang University, Beijing, China","2018 IEEE International Conference on Software Quality, Reliability and Security Companion (QRS-C)",13 Aug 2018,2018.0,,,27,34,"Software defect prediction can help us identify software defect modules and improve software quality. The existing defect prediction mainly analyzes the software code or the development process and uses the statistical feature data on the files or categories related to the software defects as the metrics. The method disregards the macroscopic integrity of software programs and the relevance of local defects to the surrounding program elements. For this reason, this study introduces a complex network technology into defect prediction, establishes a software network model, uses a complex network metric to design a set of metrics that can reflect the local and global features of defects, and proposes a dynamic prediction model optimization method based on the threshold filter algorithm. The effectiveness of the proposed metric and method is verified through comparison with the Predictive Model in Software Engineering dataset experiment and a practical engineering software data prediction experiment.",,978-1-5386-7839-8,10.1109/QRS-C.2018.00019,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8431947,defect prediction;software metrics;complex network;machine learning,Measurement;Predictive models;Heuristic algorithms;Machine learning;Software quality;Prediction algorithms,complex networks;program diagnostics;software metrics;software quality;statistical analysis,metrics;software programs;local defects;surrounding program elements;complex network technology;software network model;dynamic prediction model optimization method;proposed metric method;Predictive Model;Software Engineering dataset experiment;practical engineering software data prediction experiment;multilayer structure;Software defect prediction;software defect modules;software quality;software code;statistical feature data,,10.0,,27.0,IEEE,13 Aug 2018,,,IEEE,IEEE Conferences,False,True,True,
Graph-based Robust Model Hashing,Y. Tao; C. Qin,"School of Optical-Electrical and Computer Engineering, University of Shanghai for Science and Technology, Shanghai, China; School of Optical-Electrical and Computer Engineering, University of Shanghai for Science and Technology, Shanghai, China",2022 IEEE International Workshop on Information Forensics and Security (WIFS),14 Dec 2022,2022.0,,,1,6,"Deep neural networks (DNNs) intellectual property protection attracts extensive attention recently, and how to identify suspicious illegal copied version of original model is an important issue for protecting the profits of model owner. The existing techniques, such as model watermarking, are limited due to inevitable modifications to the models. In this paper, we propose a graph-based robust model hashing scheme that learns the compact hash representations of DNNs through processing comprehensive graph-level features. Thus, the hash distances between similar models are significantly smaller than those of dissimilar models, which can be utilized for model authentication. Specifically, model graph data is first constructed by analyzing the computational graph of the target model. Then, the graph-level features are extracted as non-linear substructures sets. After hash representation learning for the features, the target model can be represented as the hash code. Experimental results show that the proposed scheme is robust against different types of attacks on models, and can also achieve satisfactory performances of discrimination and generalizability.",2157-4774,979-8-3503-0967-6,10.1109/WIFS55849.2022.9975424,National Natural Science Foundation of China; Natural Science Foundation of Shanghai; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9975424,Model hashing;deep neural network;graph embedding;authentication,Representation learning;Analytical models;Codes;Computational modeling;Neural networks;Authentication;Watermarking,copy protection;cryptography;deep learning (artificial intelligence);feature extraction;graph theory;image watermarking;industrial property,comprehensive graph-level features;computational graph;deep neural networks;dissimilar models;graph-based robust model hashing scheme;graph-level features extraction;hash code;hash distances;hash representation learning;intellectual property protection;model authentication;model graph data;model owner;model watermarking;nonlinear substructures;suspicious illegal copied version,,,,18.0,IEEE,14 Dec 2022,,,IEEE,IEEE Conferences,False,True,True,
